"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","7/45","199/9370",0.0351758793969849,7.32439977666108,6.26420500615343,4.01465022879391e-05,0.00350928419187966,0.00283806038624414,"SLC6A4/SLC6A3/MC4R/ACHE/HTR1A/DRD3/HRH1",7
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","7/45","201/9370",0.0348258706467662,7.25152017689331,6.22373561762189,4.27961486814593e-05,0.00350928419187966,0.00283806038624414,"MMP9/ELANE/MMP3/MPO/MET/BIRC2/FLT3",7
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","7/45","254/9370",0.0275590551181102,5.73840769903762,5.31833367193264,0.000186228174379271,0.0101371425243723,0.00819820255501228,"KDR/RET/CACNA1G/MET/P2RX7/CCKBR/HRH1",7
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","5/45","119/9370",0.0420168067226891,8.74883286647993,5.90940683424855,0.000247247378643227,0.0101371425243723,0.00819820255501228,"MMP9/MMP3/XIAP/ADAM17/BIRC2",5
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","4/45","71/9370",0.0563380281690141,11.7308294209703,6.30482153556805,0.000356723734327008,0.0117005384859259,0.00946256642635852,"RET/MET/FLT3/SCO2",4
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/45","41/9370",0.0731707317073171,15.2357723577236,6.34576335717861,0.000971329272130517,0.0242067301409811,0.0195766880472632,"MMP9/MMP1/TYMP",3
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","4/45","94/9370",0.0425531914893617,8.86052009456265,5.32063289549161,0.00103321409138334,0.0242067301409811,0.0195766880472632,"MMP9/MMP1/MMP3/GSK3B",4
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","4/45","106/9370",0.0377358490566038,7.85744234800839,4.93224090499607,0.00161416309763582,0.0330903435015344,0.0267611250397518,"MMP9/MMP3/CDK2/GSK3B",4
