"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","3/48","68/9370",0.0441176470588235,8.61213235294118,4.52048787220898,0.00500756410240031,0.00959075836561414,0.00308226514777539,"PIK3CA/MAPK3/GRB2",3
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","3/48","69/9370",0.0434782608695652,8.48731884057971,4.47918231311948,0.00521652006616605,0.00990700449540779,0.00318389990769976,"AGTR1/PTGER2/PTGER4",3
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","3/48","70/9370",0.0428571428571429,8.36607142857143,4.43870375371087,0.00543067237468446,0.0102277663056557,0.00328698591099322,"CPT1A/JAK2/MAPK10",3
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","4/48","140/9370",0.0285714285714286,5.57738095238095,3.91555126367841,0.00558363915980157,0.0104289458687203,0.00335164073098137,"SERPINE1/AGTR1/TGFBR1/MAPK3",4
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","6/48","323/9370",0.0185758513931889,3.62616099071207,3.44653744180677,0.00580068572222091,0.0107455325673928,0.00345338494247837,"PIK3CA/CASP3/PRKCA/MAPK3/GRB2/HDAC2",6
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","3/48","75/9370",0.04,7.80833333333333,4.24775474791589,0.00658059169845442,0.012091168486591,0.0038858436216804,"PIK3CA/CASP3/MAPK3",3
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","4/48","149/9370",0.0268456375838926,5.24049217002237,3.74397618596624,0.00694614758234359,0.0126599141420133,0.00406862634279888,"PRKCA/MAPK3/MAPK10/MAPK14",4
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","4/48","154/9370",0.025974025974026,5.07034632034632,3.65454386008305,0.0077907855077034,0.0139739486090553,0.00449092898940296,"AGTR1/PRKCA/MAPK3/MAPK14",4
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","4/48","154/9370",0.025974025974026,5.07034632034632,3.65454386008305,0.0077907855077034,0.0139739486090553,0.00449092898940296,"PRKCA/MAPK3/SRC/JUN",4
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","4/48","158/9370",0.0253164556962025,4.94198312236287,3.58574191788878,0.00851339247741344,0.0151498165346097,0.00486882785695423,"CDK2/GSK3B/CDK1/HDAC2",4
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","5/48","254/9370",0.0196850393700787,3.84268372703412,3.2957626850613,0.00931615818701061,0.0164488417989406,0.00528630686598464,"AGTR1/PRKCA/CCKBR/TACR2/HRH1",5
