"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","4/52","105/9370",0.0380952380952381,6.86446886446886,4.51427031189042,0.00266754286435252,0.00424586138995854,0.00114865900859675,"SRC/MAPK10/MAPK8/MAPK9",4
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","6/52","254/9370",0.0236220472440945,4.2565112053301,3.93055805416212,0.00267846396095515,0.00424586138995854,0.00114865900859675,"EGFR/KDR/RET/MET/P2RX7/GRM5",6
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","5/52","178/9370",0.0280898876404494,5.06158167675022,4.08683517535169,0.00295243725281512,0.00464574685369438,0.00125684248378353,"CTNNB1/MAPK10/GSK3B/MAPK8/MAPK9",5
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","3/52","56/9370",0.0535714285714286,9.65315934065934,4.85162847012505,0.00363248993229001,0.00567410836138731,0.0015350514504491,"GRK2/GSK3B/GRK3",3
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","4/52","115/9370",0.0347826086956522,6.26755852842809,4.24577540249194,0.00370412685338254,0.0057440807726367,0.00155398151743737,"MAP2K1/CASP3/MAOB/ALOX15",4
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","3/52","59/9370",0.0508474576271186,9.16232073011734,4.6981668552121,0.00421060631685592,0.00648251620005157,0.00175375499755453,"PIK3CA/PIK3CB/PIK3CD",3
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","4/52","122/9370",0.0327868852459016,5.90794451450189,4.07607895002755,0.00457410612767683,0.0069918479380203,0.00189154764678365,"MTOR/PIK3CA/PIK3CB/PIK3CD",4
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","6/52","308/9370",0.0194805194805195,3.51023976023976,3.34630461020287,0.00685562804575181,0.0104049957573822,0.00281492752905076,"MTOR/CASP3/MAPK10/GRM5/MAPK8/MAPK9",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","5/52","219/9370",0.0228310502283105,4.11397962767826,3.48329683343293,0.0070947890466733,0.0106921468731555,0.00289261228737607,"PIK3CA/PIK3CB/PIK3CD/JAK2/SRC",5
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","3/52","75/9370",0.04,7.20769230769231,4.03202350587703,0.00821894279919987,0.0122996766365648,0.00332750720615379,"CASP3/CDK2/CDK4",3
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","4/52","154/9370",0.025974025974026,4.68031968031968,3.44002508626252,0.0103065838075656,0.0153167287140211,0.0041437288700008,"EGFR/MAP2K1/PIK3CG/SRC",4
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","2/52","28/9370",0.0714285714285714,12.8708791208791,4.69925384123965,0.0104128432217926,0.0153679203411284,0.00415757805588815,"ALPL/AKR1B1",2
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","4/52","158/9370",0.0253164556962025,4.5618305744888,3.3729645333069,0.0112477589705572,0.0164864412308167,0.00446017839495778,"ABL1/CDK2/CDK4/GSK3B",4
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","5/52","250/9370",0.02,3.60384615384615,3.11727304428429,0.0121642449221902,0.0177084926078142,0.00479078747383071,"EGFR/SRC/GRK2/GRK5/GRK3",5
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","4/52","174/9370",0.0229885057471264,4.14235190097259,3.12548126253493,0.0155629007452669,0.0225031132397777,0.00608790569693938,"MAPK10/MAPK8/MAPK9/HSP90AA1",4
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","5/52","268/9370",0.0186567164179104,3.36179678530425,2.93041039891105,0.0160280100958164,0.0230200950369444,0.00622776796375771,"CASP3/MAPK10/MAPK8/MAPK9/MAOB",5
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","3/52","98/9370",0.0306122448979592,5.51609105180534,3.35719025677616,0.0169366031036534,0.0241628870945454,0.00653693453123463,"PIK3CA/PIK3CB/PIK3CD",3
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","3/52","101/9370",0.0297029702970297,5.35224676313785,3.28507050559121,0.0183437128435869,0.025997049990249,0.00703314190587159,"CTNNB1/MAP2K1/GSK3B",3
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","3/52","105/9370",0.0285714285714286,5.14835164835165,3.19326116690562,0.0203185842064267,0.0286064277643113,0.00773907293181074,"PLAU/IRAK4/PARP1",3
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","4/52","201/9370",0.0199004975124378,3.5859165709912,2.76846150935029,0.0249720119336934,0.0349281735543163,0.00944933372103981,"ELANE/PLAU/MET/FLT3",4
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","3/52","116/9370",0.0258620689655172,4.66014588859416,2.96312233056309,0.0263334144284405,0.036593186283677,0.00989977986031596,"GRK2/GRM5/GRK3",3
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","2/52","50/9370",0.04,7.20769230769231,3.28771502683291,0.0312336845035685,0.0431226353791204,0.0116662319028609,"TLR9/MET",2
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","3/52","128/9370",0.0234375,4.22325721153846,2.74286166034808,0.0338705989556116,0.0464635139519288,0.0125700603411514,"PDE4B/PDE5A/PDE4A",3
