"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","6/54","115/9370",0.0521739130434783,9.05314009661836,6.6153788806881,4.79211569592897e-05,0.000141738633259871,5.32852004736356e-05,"EGFR/BCL2/MMP13/PDE4B/MMP14/SGK1",6
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","6/54","116/9370",0.0517241379310345,8.97509578544061,6.58004576768104,5.03131080555573e-05,0.000146746565162042,5.51678816398655e-05,"MMP2/PIK3CA/PIK3CD/ROCK1/MAPK14/ITGA4",6
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","5/54","71/9370",0.0704225352112676,12.2196139801774,7.22466517902418,5.13435466587375e-05,0.00014770061367582,5.55265464946693e-05,"EGFR/AKT1/PIK3CA/AKT3/PIK3CD",5
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","8/54","238/9370",0.0336134453781513,5.83255524431995,5.74924894278504,5.84116389293973e-05,0.000165762759123965,6.23168267383328e-05,"IGF1R/INSR/EGFR/AKT1/PIK3CA/AKT3/FGF1/PIK3CD",8
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","4/54","38/9370",0.105263157894737,18.2651072124756,8.11899870750931,6.28936425952299e-05,0.000176102199266644,6.62038343107683e-05,"INSR/PIK3CA/PIK3CD/SGK1",4
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","6/54","122/9370",0.0491803278688525,8.53369763205829,6.37665542818957,6.67534970701303e-05,0.000179720953650351,6.75642682896055e-05,"AKT1/PIK3CA/AKT3/PIK3CD/MAPK14/GSK3B",6
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","6/54","122/9370",0.0491803278688525,8.53369763205829,6.37665542818957,6.67534970701303e-05,0.000179720953650351,6.75642682896055e-05,"AKT1/PIK3CA/AKT3/PIK3CD/SRC/GSK3B",6
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","6/54","122/9370",0.0491803278688525,8.53369763205829,6.37665542818957,6.67534970701303e-05,0.000179720953650351,6.75642682896055e-05,"AKT1/PIK3CA/AKT3/PIK3CD/MAPK14/GSK3B",6
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","7/54","180/9370",0.0388888888888889,6.74794238683128,5.92815653405313,7.10094902161663e-05,0.000188759404372088,7.09621820947698e-05,"AKT1/PIK3CA/AKT3/BCL2/IRAK4/PIK3CD/SRC",7
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","5/54","77/9370",0.0649350649350649,11.2674362674363,6.88744540328389,7.59033198047056e-05,0.000199246214487352,7.49045919125384e-05,"EGFR/AKT1/PIK3CA/AKT3/PIK3CD",5
