"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","5/47","238/9370",0.0210084033613445,4.18827105310209,3.5373535574928,0.00652099314199471,0.0247797739395799,0.0133539955252332,"PIK3CA/TEK/RAF1/PDGFRA/MAPK8",5
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","3/47","77/9370",0.038961038961039,7.76733904393479,4.23353383965285,0.00667470622391989,0.0249109571571296,0.0134246910894629,"PIK3CA/RAF1/MAPK8",3
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","4/47","154/9370",0.025974025974026,5.17822602928986,3.71192133630112,0.00723226519384671,0.0265183057107713,0.0142909025991062,"RAF1/MYLK/PIK3CG/ROCK1",4
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","3/47","80/9370",0.0375,7.47606382978723,4.13015131882352,0.00741883219231619,0.0267333780723118,0.0144068066166576,"PIK3CA/RAF1/PDGFRA",3
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","3/47","86/9370",0.0348837209302326,6.95447798119743,3.93861072983461,0.00904986772923254,0.0320580060238915,0.0172762862984457,"PIK3CA/RAF1/MAPK8",3
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","3/47","87/9370",0.0344827586206897,6.87454145267792,3.90847312527553,0.00934049895787734,0.0325360713699394,0.0175339190963662,"PIK3CA/RAF1/MAPK8",3
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","3/47","88/9370",0.0340909090909091,6.79642166344294,3.87880754098157,0.00963655860792211,0.0325503899393643,0.0175416354747518,"F10/BDKRB2/C3AR1",3
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","4/47","168/9370",0.0238095238095238,4.7467071935157,3.47921275560036,0.00976706809716888,0.0325503899393643,0.0175416354747518,"PIK3CA/RAF1/PDGFRA/PIM1",4
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","3/47","89/9370",0.0337078651685393,6.72005737508965,3.84960091006058,0.00993806729959592,0.0325503899393643,0.0175416354747518,"RAF1/PDGFRA/GRM5",3
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","4/47","169/9370",0.0236686390532544,4.718620168702,3.46358112081823,0.00996758352210198,0.0325503899393643,0.0175416354747518,"PIK3CA/RAF1/MAP3K7/MAPK8",4
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","3/47","90/9370",0.0333333333333333,6.64539007092199,3.82084067128529,0.0102450449524502,0.0329417599240321,0.017752547528942,"PIK3CA/RAF1/ALK",3
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","3/47","93/9370",0.032258064516129,6.43102264927934,3.73711976657661,0.0111989805268603,0.0354634383350576,0.0191114978688047,"MMP2/RAF1/MAPK8",3
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","6/47","388/9370",0.0154639175257732,3.08291291949989,2.97521364762302,0.0123885414908965,0.0386448533074234,0.0208259849100695,"PIK3CA/RAF1/APP/ADAM17/GRM5/MAPK8",6
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","3/47","103/9370",0.029126213592233,5.80665151828135,3.48264633765202,0.0147412655718685,0.0453077133017723,0.0244166473094416,"PIK3CA/MAPK8/BDKRB2",3
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","3/47","105/9370",0.0285714285714286,5.69604863221885,3.43575533749316,0.0155174753291874,0.0470022078811617,0.025329822429032,"PIK3CA/RAF1/MAPK8",3
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","3/47","107/9370",0.0280373831775701,5.58958043348578,3.39005503357667,0.0163164787390066,0.0487163436636054,0.0262535823319354,"GCK/CPT1A/PDE3B",3
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","3/47","109/9370",0.0275229357798165,5.48701932461448,3.34549167224521,0.0171383467447291,0.0497488120784498,0.0268099868667546,"PIK3CA/MAP3K7/MAPK8",3
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","3/47","109/9370",0.0275229357798165,5.48701932461448,3.34549167224521,0.0171383467447291,0.0497488120784498,0.0268099868667546,"RORC/MAPK8/HSP90AA1",3
